source,record_id,issue_type,field,value,detail
Google Places,ChIJ30nELxrrhkcRhy9tNbICo8o,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ30w2OU7BhkcRv0tbIRtMzHY,low_review_count,review_count,6,Review count is below 20; ratings are less reliable.
Google Places,ChIJ312WanPAhkcRjAFid9snEj4,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ35p4Z0TGhkcRYUSqKWsRUNQ,low_review_count,review_count,8,Review count is below 20; ratings are less reliable.
Google Places,ChIJ37Oo3x7EhkcRe_A_5BA3qDo,low_review_count,review_count,5,Review count is below 20; ratings are less reliable.
Google Places,ChIJ383LHD_BhkcRUCBMOkObBv4,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ395CjPHHhkcRWJcu9jsfL1E,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ3QZecgDFhkcRkOvDCvpT2us,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ3QZecgDFhkcRkOvDCvpT2us,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ3RAcPgDHhkcR4L0Ial4wWbk,low_review_count,review_count,5,Review count is below 20; ratings are less reliable.
Google Places,ChIJ3RhQadjDhkcRLKvD1cHyy9c,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ3SFdNDrBhkcRrfw6gmEY258,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ3SFdNDrBhkcRrfw6gmEY258,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ3SrqVGbBhkcR30LIs6tN1HQ,low_review_count,review_count,13,Review count is below 20; ratings are less reliable.
